Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg),Health
0.0,128.181881,37.914634,7581.824409600001,0.0,-0.002,0.0,1.0
0.0166,128.181881,37.914673,7581.835077600001,0.0,-0.009,0.0,1.0
0.0333,128.181881,37.914712,7581.8430024,0.061,-0.019,0.01,1.0
0.05,128.181881,37.914751,7581.8484888,0.182,-0.033,0.032,1.0
0.0666,128.181881,37.91479,7581.8509272,0.365,-0.049,0.062,1.0
0.0833,128.181881,37.914829,7581.8500128000005,0.612,-0.067,0.098,1.0
0.1,128.181881,37.914868,7581.845440800001,0.924,-0.087,0.137,1.0
0.1166,128.181881,37.914907,7581.836296800001,1.299,-0.109,0.179,1.0
0.1333,128.181881,37.914946,7581.8228856000005,1.738,-0.132,0.223,1.0
0.15,128.181881,37.914985,7581.804597600001,2.24,-0.155,0.267,1.0
0.1666,128.181881,37.915024,7581.7811280000005,2.802,-0.179,0.312,1.0
0.1833,128.181881,37.915064,7581.7527816,3.424,-0.203,0.356,1.0
0.2,128.181881,37.915103,7581.7198632,4.103,-0.228,0.4,1.0
0.2166,128.181881,37.915142,7581.682068,4.838,-0.254,0.443,1.0
0.2333,128.181881,37.915181,7581.6397008,5.627,-0.276,0.486,1.0
0.25,128.181881,37.91522,7581.5927616,6.469,-0.294,0.529,1.0
0.2666,128.181881,37.915259,7581.5412504000005,7.361,-0.309,0.571,1.0
0.2833,128.181881,37.915299,7581.4851672,8.303,-0.323,0.612,1.0
0.3,128.181881,37.915338,7581.424512,9.291,-0.335,0.653,1.0
0.3166,128.181881,37.915377,7581.3595896,10.325,-0.347,0.693,1.0
0.3333,128.181881,37.915417,7581.290400000001,11.403,-0.35,0.734,1.0
0.35,128.181881,37.915456,7581.2169432,12.523,-0.345,0.776,1.0
0.3666,128.181881,37.915495,7581.139524000001,13.684,-0.334,0.819,1.0
0.3833,128.181881,37.915534,7581.058142400001,14.885,-0.319,0.862,1.0
0.4,128.181881,37.915574,7580.9724936,16.125,-0.301,0.906,1.0
