Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg),Health
0.0,128.190536,37.914468,7452.8510328,0.0,-0.003,179.999,1.0
0.0166,128.190536,37.914423,7452.83244,0.0,-0.011,180.0,1.0
0.0333,128.190536,37.914379,7452.8117136,0.08,-0.024,180.01,1.0
0.05,128.190536,37.914335,7452.7891584,0.237,-0.039,180.032,1.0
0.0666,128.190536,37.914291,7452.764164800001,0.475,-0.056,180.06,1.0
0.0833,128.190536,37.914247,7452.7361232,0.795,-0.076,180.093,1.0
0.1,128.190536,37.914202,7452.705033600001,1.196,-0.097,180.128,1.0
0.1166,128.190536,37.914158,7452.670591200001,1.679,-0.119,180.163,1.0
0.1333,128.190536,37.914114,7452.6324912,2.24,-0.141,180.198,1.0
0.15,128.190536,37.91407,7452.590124,2.877,-0.163,180.232,1.0
0.1666,128.190536,37.914025,7452.5434896,3.587,-0.185,180.266,1.0
0.1833,128.190536,37.913981,7452.492892800001,4.369,-0.208,180.298,1.0
0.2,128.190536,37.913937,7452.438333600001,5.218,-0.232,180.33,1.0
0.2166,128.190536,37.913892,7452.379812,6.133,-0.256,180.36,1.0
0.2333,128.190536,37.913848,7452.317328000001,7.11,-0.277,180.39,1.0
0.25,128.190536,37.913804,7452.251186400001,8.147,-0.294,180.419,1.0
0.2666,128.190536,37.913759,7452.1810824,9.243,-0.309,180.448,1.0
0.2833,128.190536,37.913715,7452.1073208,10.393,-0.323,180.476,1.0
0.3,128.190536,37.913671,7452.029901600001,11.597,-0.336,180.503,1.0
0.3166,128.190536,37.913626,7451.948824800001,12.852,-0.351,180.529,1.0
0.3333,128.190536,37.913582,7451.8643952,14.156,-0.358,180.556,1.0
0.35,128.190536,37.913538,7451.7766128,15.507,-0.36,180.584,1.0
0.3666,128.190536,37.913493,7451.6851728,16.904,-0.357,180.613,1.0
0.3833,128.190536,37.913449,7451.5906848,18.344,-0.352,180.642,1.0
0.4,128.190536,37.913404,7451.492844,19.826,-0.347,180.671,1.0
0.4166,128.190537,37.91336,7451.391650400001,21.349,-0.343,180.7,1.0
0.4333,128.190537,37.913316,7451.2880184000005,22.911,-0.328,180.733,1.0
0.45,128.190537,37.913271,7451.1816432,24.51,-0.291,180.776,1.0
0.4666,128.190537,37.913227,7451.0731344,26.145,-0.223,180.835,1.0
0.4833,128.190537,37.913182,7450.963101600001,27.815,-0.114,180.916,1.0
0.5,128.190537,37.913138,7450.85124,29.52,0.04,181.024,1.0
0.5166,128.190537,37.913093,7450.739073600001,31.257,0.246,181.167,1.0
0.5333,128.190537,37.913049,7450.625992800001,33.026,0.506,181.349,1.0
0.55,128.190537,37.913004,7450.512912,34.825,0.808,181.568,1.0
0.5666,128.190536,37.91296,7450.3995264000005,36.654,1.141,181.819,1.0
0.5833,128.190536,37.912915,7450.286445600001,38.511,1.493,182.098,1.0
0.6,128.190536,37.912871,7450.1742792000005,40.394,1.851,182.397,1.0
0.6166,128.190536,37.912826,7450.0627224,42.302,2.2,182.708,1.0
0.6333,128.190536,37.912782,7449.9529944000005,44.194,2.533,183.02,1.0
0.65,128.190536,37.912737,7449.8450952,46.067,2.843,183.329,1.0
0.6666,128.190535,37.912693,7449.7396344,47.922,3.13,183.635,1.0
0.6833,128.190535,37.912648,7449.6372216,49.76,3.392,183.936,1.0
0.7,128.190535,37.912604,7449.536942400001,51.585,3.629,184.232,1.0
0.7166,128.190534,37.912559,7449.439711200001,53.398,3.841,184.522,1.0
0.7333,128.190534,37.912515,7449.345223200001,55.134,4.034,184.804,1.0
0.75,128.190533,37.91247,7449.253783200001,56.798,4.209,185.078,1.0
