Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg),Health
0.0,128.181881,37.914627,3219.4749936000003,0.0,-0.003,0.0,1.0
0.0166,128.181881,37.914662,3219.4853568000003,0.0,-0.012,0.0,1.0
0.0333,128.181881,37.914697,3219.4923672,0.08,-0.026,0.013,1.0
0.05,128.181881,37.914732,3219.4963296,0.237,-0.043,0.039,1.0
0.0666,128.181881,37.914767,3219.4963296,0.475,-0.063,0.073,1.0
0.0833,128.181881,37.914803,3219.4917576000003,0.796,-0.085,0.113,1.0
0.1,128.181881,37.914838,3219.482004,1.2,-0.109,0.155,1.0
0.1166,128.181881,37.914873,3219.4661544,1.685,-0.134,0.198,1.0
0.1333,128.181881,37.914908,3219.443904,2.249,-0.159,0.241,1.0
0.15,128.181881,37.914944,3219.4143384,2.89,-0.184,0.283,1.0
0.1666,128.181881,37.914979,3219.3768480000003,3.604,-0.208,0.325,1.0
0.1833,128.181881,37.915014,3219.3329568000004,4.389,-0.233,0.366,1.0
0.2,128.181881,37.91505,3219.2817504000004,5.241,-0.257,0.406,1.0
0.2166,128.181881,37.915085,3219.2238384,6.159,-0.283,0.445,1.0
0.2333,128.181881,37.915121,3219.1595256000005,7.137,-0.3,0.485,1.0
0.25,128.181881,37.915156,3219.0885072,8.175,-0.311,0.524,1.0
0.2666,128.181881,37.915192,3219.0107832,9.27,-0.317,0.563,1.0
0.2833,128.181881,37.915227,3218.9269632,10.419,-0.321,0.602,1.0
0.3,128.181881,37.915263,3218.8367424,11.619,-0.322,0.641,1.0
0.3166,128.181881,37.915299,3218.7404256000004,12.87,-0.324,0.68,1.0
0.3333,128.18188,37.915334,3218.6389272,14.167,-0.312,0.722,1.0
0.35,128.18188,37.91537,3218.5313328,15.51,-0.288,0.767,1.0
0.3666,128.18188,37.915406,3218.418252,16.897,-0.255,0.815,1.0
0.3833,128.18188,37.915441,3218.2999896000006,18.326,-0.217,0.866,1.0
0.4,128.18188,37.915477,3218.1765456000003,19.794,-0.176,0.918,1.0
0.4166,128.18188,37.915513,3218.0482248000003,21.301,-0.135,0.971,1.0
0.4333,128.18188,37.915549,3217.915332,22.845,-0.081,1.032,1.0
0.45,128.18188,37.915584,3217.778172,24.425,-0.01,1.101,1.0
0.4666,128.18188,37.91562,3217.6367448,26.038,0.071,1.179,1.0
0.4833,128.18188,37.915656,3217.4913552000003,27.685,0.16,1.263,1.0
0.5,128.18188,37.915692,3217.3420032000004,29.363,0.251,1.352,1.0
0.5166,128.18188,37.915728,3217.1892984000006,31.071,0.343,1.445,1.0
0.5333,128.181879,37.915764,3217.0335456000003,32.809,0.446,1.55,1.0
0.55,128.181879,37.9158,3216.8750496000002,34.575,0.565,1.671,1.0
0.5666,128.181879,37.915836,3216.7138104,36.369,0.696,1.808,1.0
0.5833,128.181879,37.915872,3216.5501328000005,38.189,0.833,1.955,1.0
0.6,128.181879,37.915908,3216.3840168,40.035,0.97,2.112,1.0
0.6166,128.181879,37.915944,3216.216072,41.905,1.105,2.276,1.0
0.6333,128.181879,37.91598,3216.0481272,43.749,1.25,2.452,1.0
0.65,128.181879,37.916016,3215.8801824,45.564,1.412,2.649,1.0
0.6666,128.181879,37.916053,3215.7134568,47.352,1.584,2.865,1.0
0.6833,128.181879,37.916089,3215.5482552000003,49.114,1.76,3.096,1.0
0.7,128.181879,37.916125,3215.3842728,50.853,1.934,3.338,1.0
0.7166,128.181879,37.916161,3215.2212048,52.571,2.1,3.589,1.0
0.7333,128.181879,37.916197,3215.0611848000003,54.188,2.275,3.855,1.0
0.75,128.18188,37.916234,3214.9042128,55.71,2.464,4.144,1.0
0.7666,128.18188,37.91627,3214.7505936000002,57.144,2.66,4.455,1.0
0.7833,128.18188,37.916306,3214.6009368000005,58.502,2.855,4.783,1.0
0.8,128.181881,37.916342,3214.4555472,59.793,3.044,5.122,1.0
0.8166,128.181882,37.916379,3214.3132056000004,61.025,3.223,5.471,1.0
0.8333,128.181883,37.916415,3214.1757408000003,62.146,3.403,5.831,1.0
0.85,128.181884,37.916451,3214.042848,63.165,3.582,6.203,1.0
0.8666,128.181885,37.916488,3213.9151368000003,64.095,3.756,6.582,1.0
0.8833,128.181886,37.916524,3213.7919976000003,64.947,3.923,6.967,1.0
0.9,128.181887,37.91656,3213.672516,65.731,4.079,7.355,1.0
0.9166,128.181889,37.916596,3213.5569968,66.457,4.224,7.745,1.0
0.9333,128.18189,37.916633,3213.4448304000002,67.151,4.358,8.135,1.0
0.95,128.181892,37.916669,3213.3357120000005,67.819,4.479,8.526,1.0
0.9666,128.181894,37.916705,3213.2293368,68.467,4.589,8.915,1.0
0.9833,128.181896,37.916742,3213.1260096,69.101,4.689,9.302,1.0
1.0,128.181898,37.916778,3213.0251208000004,69.723,4.779,9.687,1.0
1.0166,128.1819,37.916814,3212.9272800000003,70.337,4.862,10.069,1.0
1.0333,128.181903,37.916851,3212.8324872000003,70.906,4.941,10.447,1.0
1.05,128.181905,37.916887,3212.7407424,71.431,5.017,10.819,1.0
1.0666,128.181908,37.916923,3212.6529600000003,71.918,5.089,11.187,1.0
1.0833,128.181911,37.91696,3212.5682256000005,72.368,5.156,11.551,1.0
1.1,128.181914,37.916996,3212.4865392,72.786,5.217,11.911,1.0
1.1166,128.181917,37.917032,3212.4079008000003,73.176,5.272,12.268,1.0
1.1333,128.18192,37.917069,3212.33292,73.524,5.324,12.621,1.0
1.15,128.181924,37.917105,3212.2609872000003,73.835,5.372,12.97,1.0
1.1666,128.181928,37.917141,3212.1921024000003,74.112,5.417,13.317,1.0
1.1833,128.181932,37.917177,3212.1262656,74.36,5.458,13.66,1.0
1.2,128.181936,37.917214,3212.063172,74.583,5.495,14.0,1.0
1.2166,128.18194,37.91725,3212.0031264,74.783,5.528,14.337,1.0
1.2333,128.181944,37.917286,3211.9455192000005,75.046,5.549,14.676,1.0
1.25,128.181949,37.917322,3211.8900456,75.372,5.557,15.014,1.0
1.2666,128.181954,37.917359,3211.8364008000003,75.761,5.556,15.352,1.0
1.2833,128.181958,37.917395,3211.7845848,76.208,5.549,15.688,1.0
1.3,128.181963,37.917431,3211.7336832,76.707,5.538,16.023,1.0
1.3166,128.181968,37.917467,3211.6840008000004,77.254,5.525,16.356,1.0
1.3333,128.181974,37.917504,3211.6355376,77.826,5.511,16.686,1.0
1.35,128.181979,37.91754,3211.5885984,78.417,5.497,17.014,1.0
1.3666,128.181985,37.917576,3211.5425736,79.022,5.482,17.339,1.0
1.3833,128.18199,37.917612,3211.4980728,79.637,5.465,17.661,1.0
1.4,128.181996,37.917648,3211.4544864,80.258,5.444,17.981,1.0
1.4166,128.182002,37.917685,3211.4118144000004,80.882,5.421,18.299,1.0
1.4333,128.182008,37.917721,3211.3706664,81.483,5.397,18.613,1.0
1.45,128.182014,37.917757,3211.3304328000004,82.06,5.372,18.926,1.0
1.4666,128.182021,37.917793,3211.2914184,82.612,5.345,19.236,1.0
1.4833,128.182028,37.917829,3211.2530136,83.141,5.315,19.544,1.0
1.5,128.182035,37.917865,3211.2155232000005,83.649,5.281,19.85,1.0
1.5166,128.182042,37.917901,3211.1786424,84.136,5.243,20.154,1.0
1.5333,128.182049,37.917937,3211.1423712000005,84.586,5.203,20.457,1.0
1.55,128.182056,37.917973,3211.1070144000005,84.999,5.162,20.759,1.0
1.5666,128.182064,37.918009,3211.0716576000004,85.38,5.119,21.059,1.0
1.5833,128.182072,37.918045,3211.0369104,85.731,5.073,21.358,1.0
1.6,128.18208,37.918081,3211.002468,86.057,5.025,21.656,1.0
1.6166,128.182088,37.918117,3210.9677208000003,86.359,4.973,21.952,1.0
1.6333,128.182096,37.918153,3210.9335832,86.629,4.919,22.248,1.0
1.65,128.182105,37.918188,3210.8991408,86.872,4.864,22.543,1.0
1.6666,128.182114,37.918224,3210.8643936000003,87.09,4.807,22.837,1.0
1.6833,128.182123,37.91826,3210.8296464000005,87.285,4.749,23.13,1.0
1.7,128.182132,37.918296,3210.7945944,87.461,4.689,23.422,1.0
1.7166,128.182141,37.918331,3210.7592376,87.621,4.627,23.713,1.0
1.7333,128.18215,37.918367,3210.7235760000003,87.762,4.564,24.004,1.0
1.75,128.18216,37.918403,3210.6873048,87.886,4.501,24.293,1.0
1.7666,128.18217,37.918438,3210.6507288,87.995,4.436,24.582,1.0
1.7833,128.18218,37.918474,3210.6135432,88.092,4.371,24.869,1.0
1.8,128.18219,37.918509,3210.575748,88.178,4.305,25.156,1.0
1.8166,128.182201,37.918545,3210.5373432,88.254,4.238,25.442,1.0
1.8333,128.182211,37.91858,3210.498024,88.321,4.172,25.727,1.0
1.85,128.182222,37.918616,3210.4584,88.381,4.105,26.011,1.0
1.8666,128.182233,37.918651,3210.4175568,88.434,4.037,26.294,1.0
1.8833,128.182244,37.918686,3210.376104,88.481,3.97,26.577,1.0
1.9,128.182256,37.918722,3210.3340416000005,88.523,3.903,26.858,1.0
1.9166,128.182267,37.918757,3210.2907600000003,88.561,3.836,27.138,1.0
1.9333,128.182279,37.918792,3210.2468688000004,88.596,3.769,27.418,1.0
1.95,128.182291,37.918827,3210.2020632,88.629,3.702,27.697,1.0
1.9666,128.182303,37.918862,3210.1563432000003,88.66,3.635,27.974,1.0
1.9833,128.182315,37.918897,3210.109404,88.689,3.568,28.251,1.0
2.0,128.182328,37.918932,3210.0615504,88.717,3.502,28.527,1.0
2.0166,128.18234,37.918967,3210.0127824,88.744,3.437,28.803,1.0
2.0333,128.182353,37.919002,3209.9627952,88.771,3.371,29.077,1.0
2.05,128.182366,37.919037,3209.9118936000004,88.799,3.306,29.351,1.0
2.0666,128.18238,37.919072,3209.8600776000003,88.828,3.241,29.624,1.0
2.0833,128.182393,37.919107,3209.8067376,88.857,3.176,29.896,1.0
2.1,128.182406,37.919142,3209.7524832,88.887,3.112,30.167,1.0
2.1166,128.18242,37.919176,3209.6973144000003,88.918,3.048,30.438,1.0
2.1333,128.182434,37.919211,3209.6406216,88.951,2.985,30.708,1.0
2.15,128.182448,37.919246,3209.5827096000003,88.985,2.922,30.977,1.0
2.1666,128.182463,37.91928,3209.5235784000006,89.021,2.859,31.245,1.0
2.1833,128.182477,37.919315,3209.4635328000004,89.059,2.796,31.513,1.0
2.2,128.182492,37.919349,3209.4016584,89.098,2.734,31.78,1.0
2.2166,128.182506,37.919384,3209.3388696,89.138,2.672,32.047,1.0
2.2333,128.182522,37.919418,3209.2745568,89.18,2.611,32.313,1.0
2.25,128.182537,37.919452,3209.2090248,89.225,2.549,32.578,1.0
2.2666,128.182552,37.919487,3209.1422736000004,89.271,2.488,32.843,1.0
2.2833,128.182568,37.919521,3209.0736936000003,89.319,2.427,33.108,1.0
2.3,128.182583,37.919555,3209.0038944,89.368,2.367,33.371,1.0
2.3166,128.182599,37.919589,3208.9328760000003,89.419,2.306,33.635,1.0
2.3333,128.182615,37.919623,3208.8600288,89.471,2.246,33.898,1.0
2.35,128.182632,37.919657,3208.7856576000004,89.525,2.186,34.16,1.0
2.3666,128.182648,37.919691,3208.7100672,89.58,2.126,34.422,1.0
2.3833,128.182665,37.919725,3208.6326480000002,89.636,2.066,34.683,1.0
2.4,128.182682,37.919759,3208.5537048,89.694,2.006,34.944,1.0
2.4166,128.182699,37.919793,3208.4732375999997,89.753,1.947,35.205,1.0
2.4333,128.182716,37.919826,3208.3912464000005,89.812,1.887,35.465,1.0
