campaign,case_id,candidate,seed,opponent,randomized_start,fork_start_s,fork_duration_s,lead_time_s,vertical_offset_m,prefix_ok,dll_sha256,rule_sha256,replay_stamp,own_los_az_deg,own_los_el_deg,own_lift_to_los_deg,target_los_az_deg,target_los_el_deg,target_lift_to_los_deg,own_los_az_rate_dps,own_los_el_rate_dps,target_los_az_rate_dps,target_los_el_rate_dps,phase,range_m,own_ata_deg,target_ata_deg,relative_heading_deg,closure_mps,altitude_delta_m,own_altitude_m,target_altitude_m,own_floor_margin_m,target_floor_margin_m,own_speed_mps,target_speed_mps,speed_delta_mps,own_vertical_speed_mps,target_vertical_speed_mps,own_turn_rate_dps,target_turn_rate_dps,energy_height_delta_m,own_roll_deg,own_pitch_deg,target_roll_deg,target_pitch_deg,own_health,target_health,health_advantage,final_net_hp,delta_final_net_hp,h3s_dealt_hp,h3s_delta_dealt_hp,h3s_taken_hp,h3s_delta_taken_hp,h3s_net_hp,h3s_delta_net_hp,h5s_dealt_hp,h5s_delta_dealt_hp,h5s_taken_hp,h5s_delta_taken_hp,h5s_net_hp,h5s_delta_net_hp,h10s_dealt_hp,h10s_delta_dealt_hp,h10s_taken_hp,h10s_delta_taken_hp,h10s_net_hp,h10s_delta_net_hp,h20s_dealt_hp,h20s_delta_dealt_hp,h20s_taken_hp,h20s_delta_taken_hp,h20s_net_hp,h20s_delta_net_hp
CV001_ACE_S0_MULTIWINDOW,t045p25_down,down,0,ACE,False,45.25,3.0,2.0,500.0,True,5AFE544793AAE631C99AB922F4A1B9066E3DBB9B511F60470F9390A0F5F1003D,1760A7E3EA9A50D38243F276983FCD393F5ED2067AB5FD7344ED2FCA8AC153E3,2026_8_8_2_7_44,-142.36872500170088,68.17273867741983,21.827261322580167,-9.613791525846908,-10.078884707554488,100.0788847075545,-106.89987942131883,47.622847827026824,33.39283059990047,-27.714284582527174,P1,1297.8717172875524,107.12497925315878,13.894308490563372,59.029071081305446,211.92211552986217,-236.6479392000001,3111.5937768,2874.9458376,2811.5937768,2574.9458376,304.55162652596704,345.0429342607319,40.49130773476486,293.1078719999918,135.91946399999222,43.989999999999384,-0.09999999999990763,1104.4284356906937,72.95,77.579,-36.437,24.311,1.0,0.9992847646569647,0.0007152353430353031,0.04238968564546708,0.015060083548680048,0.0,0.0,0.0047085407110077915,0.00017181089507289915,-0.0047085407110077915,-0.00017181089507289915,0.0,0.0,0.0047085407110077915,0.00017181089507289915,-0.0047085407110077915,-0.00017181089507289915,0.0,0.0,0.0047085407110077915,0.00017181089507289915,-0.0047085407110077915,-0.00017181089507289915,0.0,0.0,0.0047085407110077915,0.00017181089507289915,-0.0047085407110077915,-0.00017181089507289915
CV001_ACE_S0_MULTIWINDOW,t045p25_lead,lead,0,ACE,False,45.25,3.0,2.0,500.0,True,5AFE544793AAE631C99AB922F4A1B9066E3DBB9B511F60470F9390A0F5F1003D,1760A7E3EA9A50D38243F276983FCD393F5ED2067AB5FD7344ED2FCA8AC153E3,2026_8_8_2_6_41,-142.36872500170088,68.17273867741983,21.827261322580167,-9.613791525846908,-10.078884707554488,100.0788847075545,-106.89987942131883,47.622847827026824,33.39283059990047,-27.714284582527174,P1,1297.8717172875524,107.12497925315878,13.894308490563372,59.029071081305446,211.92211552986217,-236.6479392000001,3111.5937768,2874.9458376,2811.5937768,2574.9458376,304.55162652596704,345.0429342607319,40.49130773476486,293.1078719999918,135.91946399999222,43.989999999999384,-0.09999999999990763,1104.4284356906937,72.95,77.579,-36.437,24.311,1.0,0.9992847646569647,0.0007152353430353031,0.06675719162944105,0.03942758953265402,0.0,0.0,0.004679628858130003,0.0001428990421951104,-0.004679628858130003,-0.0001428990421951104,0.0,0.0,0.004679628858130003,0.0001428990421951104,-0.004679628858130003,-0.0001428990421951104,0.0,0.0,0.004679628858130003,0.0001428990421951104,-0.004679628858130003,-0.0001428990421951104,0.0,0.0,0.004679628858130003,0.0001428990421951104,-0.004679628858130003,-0.0001428990421951104
CV001_ACE_S0_MULTIWINDOW,t045p25_pure,pure,0,ACE,False,45.25,3.0,2.0,500.0,True,5AFE544793AAE631C99AB922F4A1B9066E3DBB9B511F60470F9390A0F5F1003D,1760A7E3EA9A50D38243F276983FCD393F5ED2067AB5FD7344ED2FCA8AC153E3,2026_8_8_2_6_11,-142.36872500170088,68.17273867741983,21.827261322580167,-9.613791525846908,-10.078884707554488,100.0788847075545,-106.89987942131883,47.622847827026824,33.39283059990047,-27.714284582527174,P1,1297.8717172875524,107.12497925315878,13.894308490563372,59.029071081305446,211.92211552986217,-236.6479392000001,3111.5937768,2874.9458376,2811.5937768,2574.9458376,304.55162652596704,345.0429342607319,40.49130773476486,293.1078719999918,135.91946399999222,43.989999999999384,-0.09999999999990763,1104.4284356906937,72.95,77.579,-36.437,24.311,1.0,0.9992847646569647,0.0007152353430353031,0.028317948440869434,0.0009883463440824025,0.0,0.0,0.004690316938937289,0.00015358712300239663,-0.004690316938937289,-0.00015358712300239663,0.0,0.0,0.004690316938937289,0.00015358712300239663,-0.004690316938937289,-0.00015358712300239663,0.0,0.0,0.004690316938937289,0.00015358712300239663,-0.004690316938937289,-0.00015358712300239663,0.0,0.0,0.004690316938937289,0.00015358712300239663,-0.004690316938937289,-0.00015358712300239663
CV001_ACE_S0_MULTIWINDOW,t045p25_up,up,0,ACE,False,45.25,3.0,2.0,500.0,True,5AFE544793AAE631C99AB922F4A1B9066E3DBB9B511F60470F9390A0F5F1003D,1760A7E3EA9A50D38243F276983FCD393F5ED2067AB5FD7344ED2FCA8AC153E3,2026_8_8_2_7_15,-142.36872500170088,68.17273867741983,21.827261322580167,-9.613791525846908,-10.078884707554488,100.0788847075545,-106.89987942131883,47.622847827026824,33.39283059990047,-27.714284582527174,P1,1297.8717172875524,107.12497925315878,13.894308490563372,59.029071081305446,211.92211552986217,-236.6479392000001,3111.5937768,2874.9458376,2811.5937768,2574.9458376,304.55162652596704,345.0429342607319,40.49130773476486,293.1078719999918,135.91946399999222,43.989999999999384,-0.09999999999990763,1104.4284356906937,72.95,77.579,-36.437,24.311,1.0,0.9992847646569647,0.0007152353430353031,0.07443023214388111,0.04710063004709408,0.0,0.0,0.004653655492530606,0.00011692567659571385,-0.004653655492530606,-0.00011692567659571385,0.0,0.0,0.004653655492530606,0.00011692567659571385,-0.004653655492530606,-0.00011692567659571385,0.0,0.0,0.004653655492530606,0.00011692567659571385,-0.004653655492530606,-0.00011692567659571385,0.0,0.0,0.004653655492530606,0.00011692567659571385,-0.004653655492530606,-0.00011692567659571385
CV001_ACE_S0_MULTIWINDOW,t152p75_down,down,0,ACE,False,152.75,3.0,2.0,500.0,True,5AFE544793AAE631C99AB922F4A1B9066E3DBB9B511F60470F9390A0F5F1003D,1760A7E3EA9A50D38243F276983FCD393F5ED2067AB5FD7344ED2FCA8AC153E3,2026_8_8_2_10_4,-2.7968926431509282,24.828095001807824,65.17190499819218,-175.14150204184668,9.330264542070273,80.66973545792973,0.3620557442957512,-2.8211493656043456,9.205735623811462,-25.67593751953869,P3,803.3602376215176,24.97520689580093,169.49049401458825,34.77708769678244,-34.85711640379916,454.3687127999997,2663.7544896000004,3118.1232024,2363.7544896000004,2818.1232024,287.8735764227296,273.716987728766,-14.156588693963613,139.91539200001057,133.93521600000747,18.870000000001077,-13.05000000000081,49.020982886944694,82.96,32.344,151.319,28.971,0.9954632701840651,0.9992847646569647,-0.003821494472899589,0.008596473877171107,-0.018733128219615924,0.0,-0.01983282351042437,0.0,0.0,0.0,-0.01983282351042437,0.0,-0.01983282351042437,0.0,0.0,0.0,-0.01983282351042437,0.0,-0.01983282351042437,0.0,0.0,0.0,-0.01983282351042437,4.51647859882609e-05,-0.019787658724436108,0.0,0.0,4.51647859882609e-05,-0.019787658724436108
CV001_ACE_S0_MULTIWINDOW,t152p75_lead,lead,0,ACE,False,152.75,3.0,2.0,500.0,True,5AFE544793AAE631C99AB922F4A1B9066E3DBB9B511F60470F9390A0F5F1003D,1760A7E3EA9A50D38243F276983FCD393F5ED2067AB5FD7344ED2FCA8AC153E3,2026_8_8_2_9_8,-2.7968926431509282,24.828095001807824,65.17190499819218,-175.14150204184668,9.330264542070273,80.66973545792973,0.3620557442957512,-2.8211493656043456,9.205735623811462,-25.67593751953869,P3,803.3602376215176,24.97520689580093,169.49049401458825,34.77708769678244,-34.85711640379916,454.3687127999997,2663.7544896000004,3118.1232024,2363.7544896000004,2818.1232024,287.8735764227296,273.716987728766,-14.156588693963613,139.91539200001057,133.93521600000747,18.870000000001077,-13.05000000000081,49.020982886944694,82.96,32.344,151.319,28.971,0.9954632701840651,0.9992847646569647,-0.003821494472899589,0.02779247894148651,0.000462876844699478,0.0,-0.01983282351042437,0.0,0.0,0.0,-0.01983282351042437,0.005600701135942576,-0.014232122374481793,0.0,0.0,0.005600701135942576,-0.014232122374481793,0.005600701135942576,-0.014232122374481793,0.0,0.0,0.005600701135942576,-0.014232122374481793,0.01601151318922367,-0.0038213103212006994,0.0,0.0,0.01601151318922367,-0.0038213103212006994
CV001_ACE_S0_MULTIWINDOW,t152p75_pure,pure,0,ACE,False,152.75,3.0,2.0,500.0,True,5AFE544793AAE631C99AB922F4A1B9066E3DBB9B511F60470F9390A0F5F1003D,1760A7E3EA9A50D38243F276983FCD393F5ED2067AB5FD7344ED2FCA8AC153E3,2026_8_8_2_8_39,-2.7968926431509282,24.828095001807824,65.17190499819218,-175.14150204184668,9.330264542070273,80.66973545792973,0.3620557442957512,-2.8211493656043456,9.205735623811462,-25.67593751953869,P3,803.3602376215176,24.97520689580093,169.49049401458825,34.77708769678244,-34.85711640379916,454.3687127999997,2663.7544896000004,3118.1232024,2363.7544896000004,2818.1232024,287.8735764227296,273.716987728766,-14.156588693963613,139.91539200001057,133.93521600000747,18.870000000001077,-13.05000000000081,49.020982886944694,82.96,32.344,151.319,28.971,0.9954632701840651,0.9992847646569647,-0.003821494472899589,0.04202428723981699,0.014694685143029962,0.03428460602694572,0.01445178251652135,0.0,0.0,0.03428460602694572,0.01445178251652135,0.03428460602694572,0.01445178251652135,0.0,0.0,0.03428460602694572,0.01445178251652135,0.03428460602694572,0.01445178251652135,0.0,0.0,0.03428460602694572,0.01445178251652135,0.03428460602694572,0.01445178251652135,0.0,0.0,0.03428460602694572,0.01445178251652135
CV001_ACE_S0_MULTIWINDOW,t152p75_up,up,0,ACE,False,152.75,3.0,2.0,500.0,True,5AFE544793AAE631C99AB922F4A1B9066E3DBB9B511F60470F9390A0F5F1003D,1760A7E3EA9A50D38243F276983FCD393F5ED2067AB5FD7344ED2FCA8AC153E3,2026_8_8_2_9_34,-2.7968926431509282,24.828095001807824,65.17190499819218,-175.14150204184668,9.330264542070273,80.66973545792973,0.3620557442957512,-2.8211493656043456,9.205735623811462,-25.67593751953869,P3,803.3602376215176,24.97520689580093,169.49049401458825,34.77708769678244,-34.85711640379916,454.3687127999997,2663.7544896000004,3118.1232024,2363.7544896000004,2818.1232024,287.8735764227296,273.716987728766,-14.156588693963613,139.91539200001057,133.93521600000747,18.870000000001077,-13.05000000000081,49.020982886944694,82.96,32.344,151.319,28.971,0.9954632701840651,0.9992847646569647,-0.003821494472899589,0.010885740603692295,-0.016443861493094736,0.0,-0.01983282351042437,0.0,0.0,0.0,-0.01983282351042437,0.0,-0.01983282351042437,0.0,0.0,0.0,-0.01983282351042437,0.0,-0.01983282351042437,0.0,0.0,0.0,-0.01983282351042437,0.0,-0.01983282351042437,0.0,0.0,0.0,-0.01983282351042437
CV001_ACE_S0_MULTIWINDOW,t178p60_down,down,0,ACE,False,178.6,3.0,2.0,500.0,True,5AFE544793AAE631C99AB922F4A1B9066E3DBB9B511F60470F9390A0F5F1003D,1760A7E3EA9A50D38243F276983FCD393F5ED2067AB5FD7344ED2FCA8AC153E3,2026_8_8_2_12_22,-3.930552527187186,38.6919040269636,51.3080959730364,179.11403772160335,39.97861447560154,50.02138552439847,2.7812275834809146,-10.920593926400437,-7.542107663847875,21.46926792689223,P3,1012.4387109261605,38.85986259897095,140.01321691832328,9.652391045157481,-53.30168378627687,295.3137095999996,2874.6078144000003,3169.921524,2574.6078144000003,2869.921524,279.2890742526804,269.4924175362039,-9.796656716476491,72.1522560000035,43.52848799999967,17.06000000000086,-16.130000000000912,21.202576470359872,89.152,17.317,-108.325,7.699,0.9954632701840651,0.9794519411465403,0.01601132903752478,0.02189458766243413,-0.005435014434352903,0.0,-0.008420450041253358,0.0,0.0,0.0,-0.008420450041253358,0.0,-0.008420450041253358,0.0,0.0,0.0,-0.008420450041253358,0.0,-0.008420450041253358,0.0,0.0,0.0,-0.008420450041253358,0.005883258624909349,-0.005435014434352903,0.0,0.0,0.005883258624909349,-0.005435014434352903
CV001_ACE_S0_MULTIWINDOW,t178p60_lead,lead,0,ACE,False,178.6,3.0,2.0,500.0,True,5AFE544793AAE631C99AB922F4A1B9066E3DBB9B511F60470F9390A0F5F1003D,1760A7E3EA9A50D38243F276983FCD393F5ED2067AB5FD7344ED2FCA8AC153E3,2026_8_8_2_11_25,-3.930552527187186,38.6919040269636,51.3080959730364,179.11403772160335,39.97861447560154,50.02138552439847,2.7812275834809146,-10.920593926400437,-7.542107663847875,21.46926792689223,P3,1012.4387109261605,38.85986259897095,140.01321691832328,9.652391045157481,-53.30168378627687,295.3137095999996,2874.6078144000003,3169.921524,2574.6078144000003,2869.921524,279.2890742526804,269.4924175362039,-9.796656716476491,72.1522560000035,43.52848799999967,17.06000000000086,-16.130000000000912,21.202576470359872,89.152,17.317,-108.325,7.699,0.9954632701840651,0.9794519411465403,0.01601132903752478,0.034817504934471555,0.007487902837684524,0.0,-0.008420450041253358,0.0,0.0,0.0,-0.008420450041253358,0.004579465930718896,-0.003840984110534462,0.0,0.0,0.004579465930718896,-0.003840984110534462,0.004579465930718896,-0.003840984110534462,0.0,0.0,0.004579465930718896,-0.003840984110534462,0.018806175896946775,0.007487902837684524,0.0,0.0,0.018806175896946775,0.007487902837684524
